Text,start,end ,label
zest of 1/2,0,4,INGREDIENT
whipped sweet cream 650 gms,14,19,INGREDIENT
water cool approx 72 f,0,5,INGREDIENT
water 175 ml,0,5,INGREDIENT
vegetable oil cooking spray,0,13,INGREDIENT
vegetable oil,0,13,INGREDIENT
vanilla extract 3 ml,0,15,INGREDIENT
vanilla extract,0,15,INGREDIENT
tsp cardamom powder,4,12,INGREDIENT
tsp 4 g salt,8,12,INGREDIENT
tsp 25 ml vanilla extract,10,25,INGREDIENT
tsp 25 ml salt,10,14,INGREDIENT
tsp 25 ml lemon extract,10,23,INGREDIENT
tsp 2 g salt,8,12,INGREDIENT
tin 200 gm nestl milkmaid,17,25,INGREDIENT
teaspoon vanilla extract,9,24,INGREDIENT
teaspoon salt,9,13,INGREDIENT
teaspoon ground nutmeg,16,22,INGREDIENT
teaspoon cream of tartar optional,9,24,INGREDIENT
teaspoon cream of tartar,9,24,INGREDIENT
teaspoon baking soda,9,20,INGREDIENT
teaspoon baking powder,9,22,INGREDIENT
tbsp rum extract,5,16,INGREDIENT
sugar 3 tbsp,0,5,INGREDIENT
sugar,0,5,INGREDIENT
sponge biscuit,0,14,INGREDIENT
salt,0,4,INGREDIENT
rum buttercream frosting,4,15,INGREDIENT
red yellow green and blue food coloring,26,39,INGREDIENT
rasmalai 1 kgs,0,8,INGREDIENT
rainbow nonpareil sprinkles for garnish,18,27,INGREDIENT
powdered sugar for dusting,0,14,INGREDIENT
pista chopped for side garnish 300 gms,0,5,INGREDIENT
pinch salt,6,10,INGREDIENT
pinch of salt,9,13,INGREDIENT
pina colada filling,0,11,INGREDIENT
orange juice,0,6,INGREDIENT
orange food coloring,0,6,INGREDIENT
orange flavored gelatin powder,0,6,INGREDIENT
orange,0,6,INGREDIENT
nutella,0,7,INGREDIENT
nonstick cooking spray,9,22,INGREDIENT
melted butter or margarine for greasing,7,13,INGREDIENT
lemon zest of 1/2 a lemon,0,10,INGREDIENT
lemon buttercream,0,5,INGREDIENT
juice of half a lemon 1 tablespoon,16,21,INGREDIENT
icing sugar to serve,0,11,INGREDIENT
heavy cream,6,11,INGREDIENT
hazelnuts,0,9,INGREDIENT
gold medal white cake mix 11132,17,25,INGREDIENT
gold medal ready to spread vanilla cr me icing 11216,27,40,INGREDIENT
garnish fresh mint sprigs,14,18,INGREDIENT
garnish daisies,8,15,INGREDIENT
frozen raspberries thawed to serve,7,18,INGREDIENT
fresh berries for topping optional,6,13,INGREDIENT
for milk chocolate ganache optional,4,26,INGREDIENT
for dark chocolate ganache optional,4,26,INGREDIENT
for assemble cake rasmalai milk sweet 300 ml,18,26,INGREDIENT
flour,0,5,INGREDIENT
ferrero rocher chocolates and chopped toasted hazelnuts to decorate,0,14,INGREDIENT
extra cocoa for dusting optional,6,11,INGREDIENT
eggs,0,4,INGREDIENT
eggless sponge refined flour 250 gms,23,28,INGREDIENT
egg yolks,0,3,INGREDIENT
egg yolk,0,3,INGREDIENT
egg whites,0,3,INGREDIENT
egg wash,0,3,INGREDIENT
dry saffron as per required 2 tsp,4,11,INGREDIENT
dried chopped pineapple,14,23,INGREDIENT
cup white sugar,10,15,INGREDIENT
cup water,4,9,INGREDIENT
cup vegetable oil,14,17,INGREDIENT
cup unsweetened cocoa powder,4,28,INGREDIENT
cup unsalted butter softened,13,19,INGREDIENT
cup unsalted butter,13,19,INGREDIENT
cup turbinado sugar such as sugar in the raw,14,18,INGREDIENT
cup sour cream,4,13,INGREDIENT
cup plus 2 tablespoons mini marshmallows bits,28,40,INGREDIENT
cup pineapple juice,4,19,INGREDIENT
cup of toasted unsweetened coconut flakes,27,41,INGREDIENT
cup of cake scraps toasted and roughly crumbled,7,10,INGREDIENT
cup milk,4,8,INGREDIENT
cup melted unsalted butter,20,26,INGREDIENT
cup melted butter,11,17,INGREDIENT
cup light rum,10,13,INGREDIENT
cup lemon juice,4,15,INGREDIENT
cup half and half,4,16,INGREDIENT
cup cream of coconut,4,9,INGREDIENT
cup confectioners sugar or as needed,18,23,INGREDIENT
cup cold water,9,14,INGREDIENT
cup coconut rum,12,15,INGREDIENT
cup chopped dark chocolate,12,26,INGREDIENT
cup canola or vegetables oil,25,28,INGREDIENT
cup butter melted,4,10,INGREDIENT
cup butter,4,10,INGREDIENT
cup brandy,4,10,INGREDIENT
cup blueberry jelly,4,19,INGREDIENT
cup all purpose flour,16,21,INGREDIENT
cup 80ml heavy whipping cream,24,29,INGREDIENT
cup 64 g unsweetened cocoa powder sifted,9,33,INGREDIENT
cup 60 ml 35 whipping cream approx,22,27,INGREDIENT
cup 180 ml buttermilk,11,21,INGREDIENT
cup 175 ml milk,11,15,INGREDIENT
cup 150 g white sugar,16,21,INGREDIENT
cup 125 ml unsalted butter at room temperature,20,26,INGREDIENT
cup 120ml heavy cream room temperature1 2,16,21,INGREDIENT
cup 120 ml sour cream,11,21,INGREDIENT
cup 120 ml simple syrup,18,23,INGREDIENT
cup 120 g sour cream or plain greek yogurt room temperature,10,20,INGREDIENT
cup 113 g or 1 stick unsalted butter cut into cubes,30,36,INGREDIENT
crunchy waffles,8,15,INGREDIENT
condensed milk 400 gms,0,14,INGREDIENT
condensed milk,0,14,INGREDIENT
coconut rum,8,11,INGREDIENT
cocoa powder,0,12,INGREDIENT
chocolate,0,9,INGREDIENT
cherry for garnish 6 8 nos,0,6,INGREDIENT
butter melted 100 gms,0,6,INGREDIENT
butter,0,6,INGREDIENT
baking soda 1 tbsp,0,11,INGREDIENT
baking powder 2 tbsp,0,13,INGREDIENT
baking powder,0,13,INGREDIENT
a pinch of salt,11,15,INGREDIENT
900 g unsalted butter room temperature,15,21,INGREDIENT
9 raspberries,2,13,INGREDIENT
9 oz 250 g chocolate 60,11,20,INGREDIENT
9 g gelatin or 4 1/2 sheets,4,11,INGREDIENT
850 gm cream cheese,7,19,INGREDIENT
80g sour cream at room temperature,4,14,INGREDIENT
80 g soft butter,10,16,INGREDIENT
8 oz cream cheese 1 package,5,10,INGREDIENT
8 oz 227 g butter unsalted room temperature,11,17,INGREDIENT
8 ferrero rocher candies,2,16,INGREDIENT
8 chocolate sandwich cookies such as oreo,37,41,INGREDIENT
8 10 strands saffron,6,20,INGREDIENT
700 g unsalted butter room temperature,15,21,INGREDIENT
700 g self raising flour sifted,19,24,INGREDIENT
700 g eggs room temperature,6,10,INGREDIENT
700 g caster sugar sifted,13,18,INGREDIENT
7 ounces dark chocolate 65 to 70 cocao chopped into small pieces,9,23,INGREDIENT
6 tablespoons unsalted butter room temperature,23,29,INGREDIENT
6 tablespoons 85g unsalted butter softened to room temperature1,27,33,INGREDIENT
6 oz 170 g chocolate melted and cooled,11,20,INGREDIENT
6 ounces fresh or thawed frozen cranberries 1 1/2 cups,32,43,INGREDIENT
6 large eggs,8,12,INGREDIENT
6 eggs separated room temperature,2,6,INGREDIENT
6 eggs,2,6,INGREDIENT
500g cream cheese softened,5,17,INGREDIENT
50 gm whipped cream,14,19,INGREDIENT
50 g sugar,5,10,INGREDIENT
50 g flour,5,10,INGREDIENT
5 tablespoons white sugar,20,25,INGREDIENT
5 tablespoons unsalted butter softened,23,29,INGREDIENT
5 tablespoon melted butter,20,26,INGREDIENT
5 ounces 142 grams bittersweet baking chocolate finely chopped,38,47,INGREDIENT
5 large eggs room temperature,8,12,INGREDIENT
5 gm sugar,5,10,INGREDIENT
5 gm gelatin,5,12,INGREDIENT
5 cups confectioners sugar,21,26,INGREDIENT
450g store bought brownie,18,25,INGREDIENT
450 g greek yogurt,6,18,INGREDIENT
40g crushed wafers,12,18,INGREDIENT
400 g wild blueberries,11,22,INGREDIENT
400 g traditional english tea cake mix,30,38,INGREDIENT
4 tsp 20 g baking powder,11,24,INGREDIENT
4 titanium strength gelatine leaves,20,28,INGREDIENT
4 tablespoons unsalted butter,23,29,INGREDIENT
4 tablespoons sugar,14,19,INGREDIENT
4 tablespoon unsalted butter,22,28,INGREDIENT
4 ounces chopped almonds 1 cup chopped,17,24,INGREDIENT
4 ounces cake flour sifted,14,19,INGREDIENT
4 ounces 113 grams finely chopped semisweet chocolate don t use chocolate chips,44,53,INGREDIENT
4 large eggs lightly beaten,8,12,INGREDIENT
4 large eggs at room temperature,8,12,INGREDIENT
4 eggs room temperature,2,6,INGREDIENT
4 eggs,2,6,INGREDIENT
4 egg,2,5,INGREDIENT
4 drops strawberry essence,8,18,INGREDIENT
4 drops orange essence,8,14,INGREDIENT
4 cups water,7,12,INGREDIENT
4 cups 600 ml nestl a nourish milk,30,34,INGREDIENT
4 cups 540 g redpath icing sugar,21,32,INGREDIENT
4 cups 480g powdered sugar,12,26,INGREDIENT
4 cups 460g powdered sugar,12,26,INGREDIENT
4 cups 1 l icing sugar sifted,17,22,INGREDIENT
4 banana,2,8,INGREDIENT
4 6 tbsp milk room temperature,9,13,INGREDIENT
4 6 maraschino cherries halved,15,23,INGREDIENT
4 1/2 cups icing sugar,11,22,INGREDIENT
350g 1235oz oreo cookies oy any other cookies/biscuits or combination of cookies,12,16,INGREDIENT
350 g heavy cream,12,17,INGREDIENT
35 gm strawberry,6,15,INGREDIENT
300ml thickened cream,16,21,INGREDIENT
300g dark 70 chocolate chopped,13,22,INGREDIENT
300g 2 punnets raspberries defrosted frozen raspberries may be used,15,26,INGREDIENT
300 gm well mashed paneer,13,25,INGREDIENT
3/4 teaspoon sea salt,17,21,INGREDIENT
3/4 teaspoon baking soda,13,24,INGREDIENT
3/4 pound 60 cacoa chocolate broken into pieces,19,28,INGREDIENT
3/4 cups cocoa powder,9,21,INGREDIENT
3/4 cup whole milk or use skim milk and add a little cream,14,18,INGREDIENT
3/4 cup very hot water or hot coffee,30,36,INGREDIENT
3/4 cup unsweetened cocoa powder best quality available,8,32,INGREDIENT
3/4 cup unsalted butter plus more for greasing the pan,17,23,INGREDIENT
3/4 cup sprouts organic hazelnut spread,24,39,INGREDIENT
3/4 cup sour cream,8,18,INGREDIENT
3/4 cup oil vegetable canola or any neutral tasting oil,8,10,INGREDIENT
3/4 cup light brown sugar lightly packed,14,25,INGREDIENT
3/4 cup hazelnut meal,8,21,INGREDIENT
3/4 cup cocoa powder,8,20,INGREDIENT
3/4 cup caster sugar,8,20,INGREDIENT
3/4 cup banana mashed,8,14,INGREDIENT
3/4 cup all purpose flour,20,25,INGREDIENT
3/4 cup 95 grams all purpose flour,29,34,INGREDIENT
3 tsp baking powder,6,19,INGREDIENT
3 tablespoons warm water,19,24,INGREDIENT
3 tablespoons unsweetened cocoa,14,31,INGREDIENT
3 tablespoons sugar,14,19,INGREDIENT
3 tablespoons sprouts organic hazelnut spread,30,44,INGREDIENT
3 tablespoons raspberry jam,14,27,INGREDIENT
3 tablespoons mott s 100 apple juice divided,25,36,INGREDIENT
3 tablespoons 25g flour,18,23,INGREDIENT
3 tablespoons 22g cocoa powder,18,30,INGREDIENT
3 tablespoon water,13,18,INGREDIENT
3 sticks plus 6 tablespoons unsalted butter softened,37,43,INGREDIENT
3 sticks 340 grams unsalted butter at a cool room temperature,28,34,INGREDIENT
3 oz cream cheese,5,17,INGREDIENT
3 medium eggs,9,13,INGREDIENT
3 large eggs separated divided,8,12,INGREDIENT
3 large eggs room temperature,8,12,INGREDIENT
3 large eggs,8,12,INGREDIENT
3 large egg whites room temperature1,8,11,INGREDIENT
3 egg whites,2,5,INGREDIENT
3 eggs large,2,6,INGREDIENT
3 eggs,2,6,INGREDIENT
3 egg whites beaten stiff,2,5,INGREDIENT
3 cups sugar,7,12,INGREDIENT
3 cups sifted all purpose flour,26,31,INGREDIENT
3 cups heavy whipping cream,22,27,INGREDIENT
3 cups cake flour plus more for dusting,12,17,INGREDIENT
3 cups all purpose flour use gluten free if needed see notes,19,24,INGREDIENT
3 cups all purpose flour,19,24,INGREDIENT
3 cups 375 g all purpose flour,25,30,INGREDIENT
3 90 g egg whites,7,10,INGREDIENT
3 8 ounce packages cream cheese softened,19,31,INGREDIENT
3 8 ounce packages cream cheese room temperature,19,31,INGREDIENT
3 5 tbsp milk,9,13,INGREDIENT
3 5 cups multi colored sprinkles,23,32,INGREDIENT
260g 1 cup 2 tablespoons butter room temperature,25,31,INGREDIENT
250g packet plain sweet biscuits,24,32,INGREDIENT
220 gm granulated sugar,7,23,INGREDIENT
200g dark chocolate chopped,10,19,INGREDIENT
20 oreos quartered,3,8,INGREDIENT
20 g almond flour,5,16,INGREDIENT
2/3 cup whole milk room temperature,14,18,INGREDIENT
2/3 cup cacao powder 65 grams,8,19,INGREDIENT
2/3 cup 200g nutella,13,20,INGREDIENT
2 x 60g snickers chocolate bars cut into 1cm cubes,8,16,INGREDIENT
2 x 250g packets cream cheese softened,17,29,INGREDIENT
2 tsp vanilla extract,6,21,INGREDIENT
2 tsp instant espresso powder,6,29,INGREDIENT
2 tsp baking powder,6,18,INGREDIENT
2 tsp 10 ml vanilla extract,12,27,INGREDIENT
2 teaspoons white vinegar,18,25,INGREDIENT
2 teaspoons vanilla extract,12,27,INGREDIENT
2 teaspoons salt,12,16,INGREDIENT
2 teaspoons pure vanilla extract,17,32,INGREDIENT
2 teaspoons cinnamon,12,20,INGREDIENT
2 teaspoons baking powder,12,25,INGREDIENT
2 teaspoon vanilla extract,11,26,INGREDIENT
2 teaspoon vanilla,11,18,INGREDIENT
2 teaspoon baking soda,11,22,INGREDIENT
2 tbsp elderflower syrup or sugar,28,33,INGREDIENT
2 tbsp 30 ml lemon juice,13,24,INGREDIENT
2 tbs milk,6,10,INGREDIENT
2 tbs granulated sugar,6,22,INGREDIENT
2 tbs frangelico optional,6,16,INGREDIENT
2 tablespoons white sugar,20,25,INGREDIENT
2 tablespoons water,14,19,INGREDIENT
2 tablespoons vanilla extract,14,29,INGREDIENT
2 tablespoons strong brewed coffee or more to taste,38,42,INGREDIENT
2 tablespoons sour cream,14,24,INGREDIENT
2 tablespoons rum,14,17,INGREDIENT
2 tablespoons red food coloring,18,31,INGREDIENT
2 tablespoons light or dark brown sugar,28,39,INGREDIENT
2 tablespoons lemon zest,14,24,INGREDIENT
2 tablespoons lemon juice,14,26,INGREDIENT
2 tablespoons ground nutmeg,21,27,INGREDIENT
2 tablespoons ground cloves,21,27,INGREDIENT
2 tablespoons ground cinnamon,21,29,INGREDIENT
2 tablespoons ground allspice,21,29,INGREDIENT
2 tablespoons chocolate hazelnut spread,24,39,INGREDIENT
2 tablespoons chocolate chips,14,29,INGREDIENT
2 tablespoons all purpose flour,26,31,INGREDIENT
2 tablespoon vinegar white or apple cider,13,20,INGREDIENT
2 tablespoon melted butter,20,26,INGREDIENT
2 tablespoon icing sugar,13,24,INGREDIENT
2 tablespoon corn starch,13,24,INGREDIENT
2 sticks of unsalted butter at room temperature,21,27,INGREDIENT
2 sheets 25 x 25cm frozen puff pastry,26,37,INGREDIENT
2 pie crust pastries,12,20,INGREDIENT
2 large eggs room temperature,8,12,INGREDIENT
2 large eggs plus one egg yolk at room temperature,8,12,INGREDIENT
2 large eggs,8,12,INGREDIENT
2 large egg whites,8,11,INGREDIENT
2 eggs lightly beaten,2,6,INGREDIENT
2 eggs beaten,2,6,INGREDIENT
2 eggs at room temperature,2,6,INGREDIENT
2 eggs,2,6,INGREDIENT
2 egg yolks,2,5,INGREDIENT
2 egg,2,5,INGREDIENT
2 cups white sugar,13,18,INGREDIENT
2 cups water,7,12,INGREDIENT
2 cups sugar white or brown,7,12,INGREDIENT
2 cups sugar,7,12,INGREDIENT
2 cups shortening,7,17,INGREDIENT
2 cups powdered sugar,7,21,INGREDIENT
2 cups packed brown sugar,14,25,INGREDIENT
2 cups hot cocoa mix,7,19,INGREDIENT
2 cups heavy cream,13,18,INGREDIENT
2 cups greek yogurt,13,19,INGREDIENT
2 cups granulated sugar,7,23,INGREDIENT
